"T","Distance","Radius","FreeRadius","BRadius","X","Y","Z"
0.000,0.000,9.313,9.623,10.807,2.106,19.497,-89.904
0.001,0.238,9.152,9.461,10.636,2.086,19.419,-89.679
0.001,0.476,8.990,9.299,10.466,2.067,19.342,-89.456
0.002,0.711,8.830,9.139,10.297,2.047,19.264,-89.234
0.003,0.943,8.672,8.980,10.130,2.028,19.186,-89.016
0.004,1.172,8.516,8.824,9.965,2.009,19.108,-88.802
0.004,1.396,8.363,8.670,9.804,1.990,19.029,-88.594
0.005,1.614,8.213,8.520,9.645,1.972,18.950,-88.391
0.006,1.825,8.068,8.374,9.491,1.954,18.871,-88.197
0.006,2.028,7.927,8.232,9.342,1.937,18.791,-88.010
0.007,2.223,7.792,8.096,9.198,1.920,18.711,-87.833
0.008,2.409,7.662,7.965,9.060,1.904,18.630,-87.667
0.009,2.584,7.538,7.840,8.928,1.889,18.549,-87.512
0.009,2.749,7.422,7.723,8.804,1.874,18.466,-87.370
0.010,2.903,7.313,7.613,8.687,1.861,18.383,-87.242
0.011,3.044,7.213,7.511,8.579,1.848,18.299,-87.128
0.011,3.174,7.120,7.416,8.478,1.836,18.214,-87.031
0.012,3.293,7.034,7.328,8.385,1.825,18.129,-86.949
0.013,3.403,6.954,7.246,8.298,1.815,18.042,-86.882
0.014,3.506,6.880,7.170,8.218,1.805,17.955,-86.828
0.014,3.603,6.812,7.099,8.143,1.795,17.868,-86.785
0.015,3.698,6.748,7.032,8.073,1.784,17.782,-86.750
0.016,3.790,6.687,6.968,8.007,1.772,17.695,-86.721
0.016,3.880,6.630,6.908,7.945,1.759,17.609,-86.697
0.017,3.969,6.575,6.849,7.886,1.745,17.524,-86.676
0.018,4.057,6.522,6.792,7.830,1.728,17.440,-86.654
0.019,4.145,6.471,6.736,7.776,1.708,17.358,-86.632
0.019,4.233,6.419,6.680,7.723,1.686,17.277,-86.605
0.020,4.322,6.368,6.623,7.671,1.660,17.198,-86.573
0.021,4.413,6.316,6.565,7.619,1.630,17.121,-86.534
0.021,4.508,6.263,6.506,7.566,1.597,17.047,-86.484
0.022,4.610,6.208,6.444,7.513,1.559,16.975,-86.423
0.023,4.720,6.150,6.380,7.457,1.516,16.907,-86.348
0.024,4.841,6.089,6.314,7.400,1.468,16.841,-86.258
0.024,4.974,6.024,6.244,7.339,1.416,16.777,-86.154
0.025,5.118,5.955,6.171,7.274,1.361,16.714,-86.037
0.026,5.272,5.881,6.094,7.205,1.304,16.651,-85.908
0.026,5.436,5.801,6.013,7.130,1.247,16.587,-85.769
0.027,5.610,5.714,5.927,7.050,1.189,16.521,-85.619
0.028,5.791,5.621,5.836,6.963,1.133,16.451,-85.462
0.029,5.980,5.521,5.740,6.868,1.079,16.377,-85.297
0.029,6.175,5.412,5.639,6.766,1.028,16.298,-85.125
0.030,6.376,5.295,5.531,6.656,0.981,16.212,-84.949
0.031,6.583,5.168,5.417,6.536,0.940,16.119,-84.769
0.031,6.795,5.033,5.297,6.407,0.906,16.018,-84.586
0.032,7.012,4.890,5.172,6.271,0.878,15.907,-84.401
0.033,7.235,4.742,5.042,6.130,0.860,15.785,-84.216
0.034,7.462,4.589,4.909,5.983,0.851,15.652,-84.032
0.034,7.696,4.435,4.773,5.834,0.852,15.507,-83.849
0.035,7.936,4.279,4.636,5.683,0.865,15.348,-83.669
0.036,8.181,4.123,4.498,5.532,0.887,15.179,-83.493
0.036,8.430,3.970,4.360,5.382,0.918,15.002,-83.321
0.037,8.682,3.820,4.223,5.235,0.957,14.818,-83.154
0.038,8.934,3.675,4.087,5.092,1.002,14.629,-82.992
0.039,9.186,3.537,3.954,4.954,1.052,14.439,-82.836
0.039,9.433,3.407,3.825,4.824,1.106,14.248,-82.687
0.040,9.676,3.288,3.700,4.702,1.163,14.060,-82.546
0.041,9.910,3.179,3.580,4.590,1.222,13.876,-82.412
0.041,10.135,3.082,3.466,4.489,1.281,13.698,-82.288
0.042,10.348,2.997,3.359,4.397,1.339,13.529,-82.173
0.043,10.546,2.922,3.257,4.316,1.395,13.371,-82.068
0.044,10.727,2.858,3.162,4.244,1.448,13.225,-81.974
0.044,10.888,2.803,3.074,4.181,1.496,13.095,-81.892
0.045,11.028,2.757,2.993,4.127,1.539,12.982,-81.822
0.046,11.144,2.719,2.919,4.080,1.575,12.888,-81.764
0.046,11.235,2.688,2.853,4.042,1.604,12.814,-81.719
0.047,11.303,2.665,2.794,4.011,1.627,12.759,-81.686
0.048,11.351,2.648,2.744,3.988,1.642,12.720,-81.664
0.049,11.381,2.636,2.701,3.971,1.653,12.696,-81.650
0.049,11.394,2.630,2.667,3.960,1.658,12.684,-81.645
0.050,11.396,2.628,2.642,3.955,1.659,12.684,-81.647
0.051,11.408,2.629,2.625,3.956,1.656,12.693,-81.654
0.051,11.429,2.634,2.617,3.961,1.649,12.710,-81.665
0.052,11.457,2.641,2.617,3.971,1.640,12.731,-81.680
0.053,11.489,2.650,2.623,3.985,1.629,12.757,-81.696
0.054,11.524,2.661,2.635,4.001,1.617,12.785,-81.714
0.054,11.559,2.673,2.651,4.019,1.603,12.812,-81.731
0.055,11.592,2.686,2.670,4.039,1.590,12.838,-81.746
0.056,11.621,2.698,2.691,4.059,1.576,12.861,-81.758
0.056,11.643,2.710,2.712,4.079,1.563,12.877,-81.766
0.057,11.658,2.721,2.734,4.098,1.552,12.887,-81.768
0.058,11.668,2.730,2.754,4.115,1.543,12.889,-81.765
0.059,11.681,2.737,2.771,4.130,1.535,12.883,-81.757
0.059,11.701,2.741,2.785,4.142,1.529,12.870,-81.743
0.060,11.727,2.743,2.794,4.150,1.525,12.851,-81.725
0.061,11.760,2.740,2.797,4.153,1.522,12.827,-81.703
0.061,11.799,2.734,2.794,4.152,1.521,12.798,-81.677
0.062,11.843,2.724,2.784,4.145,1.522,12.765,-81.648
0.063,11.891,2.710,2.769,4.134,1.524,12.729,-81.617
0.064,11.943,2.694,2.749,4.120,1.528,12.689,-81.583
0.064,11.998,2.676,2.726,4.103,1.534,12.648,-81.548
0.065,12.055,2.656,2.701,4.083,1.540,12.605,-81.511
0.066,12.113,2.635,2.673,4.062,1.549,12.561,-81.474
0.066,12.171,2.613,2.644,4.039,1.559,12.517,-81.436
0.067,12.230,2.591,2.615,4.015,1.570,12.474,-81.399
0.068,12.287,2.569,2.586,3.991,1.582,12.431,-81.362
0.069,12.343,2.548,2.558,3.968,1.596,12.391,-81.327
0.069,12.396,2.527,2.533,3.945,1.611,12.353,-81.292
0.070,12.448,2.509,2.511,3.924,1.628,12.316,-81.259
0.071,12.499,2.492,2.493,3.905,1.644,12.282,-81.225
0.071,12.549,2.479,2.479,3.889,1.662,12.250,-81.192
0.072,12.598,2.467,2.469,3.875,1.680,12.220,-81.158
0.073,12.646,2.457,2.463,3.863,1.697,12.191,-81.123
0.074,12.695,2.449,2.459,3.853,1.715,12.164,-81.087
0.074,12.743,2.442,2.459,3.845,1.732,12.139,-81.049
0.075,12.793,2.437,2.460,3.839,1.749,12.115,-81.008
0.076,12.844,2.431,2.463,3.834,1.765,12.093,-80.966
0.076,12.896,2.426,2.466,3.830,1.779,12.072,-80.920
0.077,12.951,2.420,2.470,3.826,1.793,12.053,-80.870
0.078,13.008,2.414,2.473,3.824,1.805,12.035,-80.817
0.079,13.069,2.407,2.476,3.821,1.815,12.018,-80.760
0.079,13.134,2.399,2.477,3.819,1.823,12.002,-80.698
0.080,13.203,2.389,2.477,3.817,1.828,11.988,-80.630
0.081,13.277,2.377,2.473,3.815,1.832,11.973,-80.558
0.081,13.355,2.363,2.467,3.811,1.833,11.959,-80.481
0.082,13.437,2.347,2.458,3.808,1.833,11.944,-80.400
0.083,13.523,2.328,2.446,3.803,1.830,11.927,-80.315
0.084,13.613,2.308,2.432,3.797,1.826,11.907,-80.228
0.084,13.707,2.286,2.415,3.791,1.821,11.884,-80.138
0.085,13.803,2.262,2.397,3.783,1.814,11.857,-80.045
0.086,13.903,2.238,2.376,3.773,1.806,11.825,-79.951
0.086,14.005,2.212,2.354,3.762,1.796,11.787,-79.857
0.087,14.111,2.185,2.331,3.750,1.786,11.743,-79.761
0.088,14.220,2.157,2.307,3.735,1.775,11.691,-79.665
0.089,14.334,2.130,2.282,3.718,1.763,11.631,-79.570
0.089,14.451,2.101,2.256,3.700,1.751,11.562,-79.476
0.090,14.573,2.073,2.230,3.679,1.739,11.484,-79.383
0.091,14.701,2.045,2.204,3.655,1.726,11.395,-79.291
0.091,14.836,2.017,2.178,3.629,1.713,11.295,-79.203
0.092,14.977,1.990,2.153,3.601,1.700,11.183,-79.116
0.093,15.126,1.964,2.128,3.572,1.687,11.062,-79.032
0.094,15.281,1.939,2.104,3.542,1.672,10.932,-78.949
0.094,15.442,1.917,2.082,3.513,1.657,10.793,-78.867
0.095,15.610,1.898,2.062,3.485,1.640,10.648,-78.787
0.096,15.783,1.882,2.044,3.460,1.621,10.495,-78.707
0.096,15.960,1.869,2.029,3.437,1.600,10.338,-78.627
0.097,16.143,1.861,2.016,3.418,1.577,10.176,-78.547
0.098,16.328,1.857,2.007,3.403,1.550,10.010,-78.467
0.099,16.517,1.859,2.001,3.394,1.521,9.842,-78.386
0.099,16.709,1.866,1.999,3.392,1.488,9.673,-78.303
0.100,16.902,1.880,2.002,3.396,1.452,9.502,-78.220
0.101,17.097,1.901,2.009,3.409,1.411,9.332,-78.134
0.101,17.293,1.928,2.021,3.431,1.366,9.162,-78.047
0.102,17.489,1.963,2.038,3.461,1.316,8.995,-77.957
0.103,17.686,2.005,2.061,3.500,1.261,8.831,-77.864
0.103,17.882,2.053,2.089,3.546,1.201,8.670,-77.768
0.104,18.079,2.107,2.124,3.600,1.136,8.513,-77.670
0.105,18.275,2.166,2.165,3.661,1.066,8.359,-77.569
0.106,18.472,2.230,2.213,3.727,0.991,8.210,-77.466
0.106,18.668,2.298,2.267,3.800,0.911,8.064,-77.362
0.107,18.864,2.371,2.329,3.877,0.826,7.923,-77.255
0.108,19.061,2.446,2.398,3.958,0.736,7.786,-77.147
0.108,19.257,2.525,2.476,4.043,0.641,7.653,-77.038
0.109,19.453,2.605,2.561,4.131,0.542,7.526,-76.928
0.110,19.648,2.688,2.654,4.221,0.437,7.403,-76.817
0.111,19.844,2.772,2.756,4.314,0.328,7.285,-76.705
0.111,20.040,2.857,2.867,4.407,0.214,7.173,-76.593
0.112,20.235,2.943,2.986,4.502,0.095,7.066,-76.481
0.113,20.431,3.028,3.112,4.597,-0.029,6.964,-76.368
0.113,20.626,3.113,3.242,4.691,-0.157,6.868,-76.256
0.114,20.821,3.197,3.376,4.784,-0.290,6.779,-76.145
0.115,21.016,3.280,3.512,4.876,-0.426,6.695,-76.034
0.116,21.209,3.361,3.646,4.966,-0.565,6.617,-75.925
0.116,21.400,3.439,3.779,5.053,-0.706,6.544,-75.819
0.117,21.587,3.515,3.908,5.136,-0.846,6.477,-75.715
0.118,21.769,3.588,4.031,5.216,-0.986,6.416,-75.615
0.118,21.945,3.657,4.147,5.291,-1.123,6.360,-75.520
0.119,22.115,3.722,4.253,5.361,-1.257,6.310,-75.429
0.120,22.276,3.782,4.349,5.426,-1.387,6.265,-75.344
0.121,22.428,3.837,4.431,5.484,-1.510,6.225,-75.265
0.121,22.569,3.887,4.500,5.536,-1.627,6.190,-75.193
0.122,22.699,3.931,4.552,5.580,-1.736,6.161,-75.129
0.123,22.816,3.970,4.591,5.618,-1.835,6.136,-75.073
0.123,22.918,4.003,4.615,5.650,-1.924,6.116,-75.026
0.124,23.006,4.031,4.628,5.675,-2.001,6.101,-74.988
0.125,23.076,4.055,4.631,5.695,-2.066,6.090,-74.961
0.126,23.130,4.074,4.623,5.711,-2.117,6.084,-74.945
0.126,23.169,4.089,4.607,5.721,-2.155,6.082,-74.937
0.127,23.195,4.101,4.584,5.727,-2.181,6.085,-74.937
0.128,23.213,4.108,4.556,5.730,-2.197,6.090,-74.942
0.128,23.228,4.113,4.522,5.729,-2.205,6.099,-74.951
0.129,23.244,4.115,4.486,5.726,-2.204,6.111,-74.961
0.130,23.262,4.113,4.447,5.720,-2.198,6.125,-74.971
0.131,23.283,4.110,4.407,5.711,-2.187,6.142,-74.979
0.131,23.306,4.104,4.367,5.702,-2.173,6.160,-74.982
0.132,23.332,4.097,4.329,5.691,-2.157,6.180,-74.978
0.133,23.361,4.088,4.293,5.679,-2.140,6.200,-74.967
0.133,23.395,4.078,4.259,5.667,-2.124,6.221,-74.946
0.134,23.437,4.068,4.228,5.656,-2.110,6.243,-74.912
0.135,23.490,4.058,4.200,5.645,-2.100,6.264,-74.864
0.136,23.558,4.049,4.175,5.635,-2.095,6.286,-74.801
0.136,23.642,4.041,4.154,5.626,-2.095,6.306,-74.719
0.137,23.745,4.034,4.138,5.620,-2.104,6.325,-74.619
0.138,23.865,4.030,4.127,5.616,-2.119,6.343,-74.500
0.138,24.002,4.029,4.120,5.615,-2.140,6.360,-74.366
0.139,24.152,4.030,4.120,5.617,-2.167,6.375,-74.219
0.140,24.313,4.036,4.125,5.623,-2.198,6.389,-74.062
0.141,24.483,4.045,4.137,5.633,-2.233,6.401,-73.896
0.141,24.660,4.059,4.155,5.648,-2.272,6.411,-73.724
0.142,24.840,4.079,4.180,5.668,-2.312,6.419,-73.548
0.143,25.023,4.102,4.212,5.693,-2.354,6.426,-73.371
0.143,25.204,4.130,4.249,5.722,-2.397,6.430,-73.195
0.144,25.382,4.162,4.291,5.754,-2.441,6.432,-73.022
0.145,25.555,4.196,4.336,5.789,-2.483,6.432,-72.854
0.146,25.719,4.232,4.383,5.826,-2.523,6.429,-72.695
0.146,25.873,4.270,4.432,5.864,-2.562,6.424,-72.546
0.147,26.014,4.309,4.481,5.903,-2.597,6.416,-72.410
0.148,26.140,4.349,4.529,5.942,-2.629,6.405,-72.288
0.148,26.250,4.388,4.576,5.981,-2.656,6.392,-72.183
0.149,26.343,4.426,4.620,6.019,-2.679,6.376,-72.094
0.150,26.421,4.462,4.660,6.054,-2.698,6.359,-72.020
0.151,26.487,4.496,4.696,6.088,-2.713,6.340,-71.960
0.151,26.540,4.528,4.726,6.118,-2.726,6.320,-71.911
0.152,26.583,4.556,4.750,6.145,-2.735,6.300,-71.874
0.153,26.618,4.581,4.767,6.167,-2.743,6.280,-71.847
0.153,26.645,4.602,4.779,6.187,-2.748,6.260,-71.829
0.154,26.667,4.619,4.787,6.202,-2.751,6.242,-71.819
0.155,26.684,4.634,4.791,6.215,-2.753,6.225,-71.815
0.156,26.699,4.645,4.793,6.225,-2.755,6.210,-71.816
0.156,26.712,4.653,4.793,6.231,-2.755,6.198,-71.821
0.157,26.725,4.658,4.792,6.235,-2.756,6.188,-71.829
0.158,26.736,4.660,4.791,6.237,-2.756,6.183,-71.839
0.158,26.747,4.659,4.791,6.236,-2.757,6.181,-71.849
0.159,26.756,4.655,4.793,6.233,-2.759,6.183,-71.858
0.160,26.767,4.649,4.799,6.228,-2.762,6.190,-71.866
0.161,26.779,4.640,4.807,6.221,-2.766,6.201,-71.871
0.161,26.792,4.628,4.821,6.213,-2.770,6.213,-71.872
0.162,26.806,4.614,4.840,6.203,-2.774,6.226,-71.869
0.163,26.821,4.598,4.865,6.193,-2.778,6.238,-71.861
0.163,26.839,4.581,4.896,6.182,-2.781,6.248,-71.847
0.164,26.861,4.565,4.933,6.173,-2.782,6.255,-71.826
0.165,26.890,4.550,4.976,6.166,-2.782,6.256,-71.797
0.166,26.927,4.538,5.025,6.162,-2.779,6.251,-71.760
0.166,26.975,4.530,5.079,6.163,-2.775,6.239,-71.714
0.167,27.036,4.526,5.139,6.168,-2.767,6.217,-71.657
0.168,27.111,4.528,5.204,6.179,-2.756,6.185,-71.590
0.168,27.203,4.537,5.275,6.197,-2.741,6.142,-71.511
0.169,27.312,4.555,5.352,6.223,-2.723,6.085,-71.419
0.170,27.442,4.581,5.434,6.258,-2.699,6.013,-71.314
0.171,27.592,4.618,5.522,6.303,-2.671,5.926,-71.195
0.171,27.765,4.667,5.614,6.359,-2.638,5.821,-71.062
0.172,27.957,4.727,5.713,6.426,-2.600,5.702,-70.915
0.173,28.168,4.801,5.816,6.505,-2.558,5.568,-70.758
0.173,28.395,4.885,5.924,6.595,-2.512,5.421,-70.591
0.174,28.636,4.980,6.036,6.694,-2.462,5.263,-70.417
0.175,28.888,5.083,6.152,6.801,-2.410,5.095,-70.236
0.176,29.149,5.194,6.271,6.915,-2.355,4.918,-70.052
0.176,29.418,5.310,6.393,7.034,-2.298,4.733,-69.865
0.177,29.692,5.432,6.518,7.158,-2.239,4.542,-69.678
0.178,29.970,5.556,6.644,7.285,-2.179,4.346,-69.491
0.178,30.248,5.683,6.772,7.413,-2.118,4.147,-69.307
0.179,30.524,5.810,6.902,7.542,-2.056,3.945,-69.128
0.180,30.798,5.937,7.031,7.670,-1.995,3.743,-68.955
0.181,31.066,6.062,7.161,7.796,-1.934,3.540,-68.790
0.181,31.326,6.184,7.291,7.919,-1.874,3.340,-68.634
0.182,31.578,6.301,7.420,8.038,-1.815,3.143,-68.490
0.183,31.818,6.412,7.548,8.151,-1.758,2.949,-68.359
0.183,32.048,6.518,7.674,8.258,-1.702,2.761,-68.240
0.184,32.265,6.618,7.799,8.359,-1.649,2.578,-68.136
0.185,32.470,6.712,7.922,8.455,-1.598,2.401,-68.045
0.186,32.663,6.800,8.043,8.544,-1.548,2.231,-67.969
0.186,32.843,6.881,8.161,8.627,-1.501,2.068,-67.908
0.187,33.010,6.957,8.277,8.703,-1.457,1.914,-67.862
0.188,33.165,7.025,8.389,8.773,-1.415,1.767,-67.832
0.188,33.309,7.087,8.499,8.836,-1.376,1.630,-67.819
0.189,33.441,7.143,8.605,8.892,-1.339,1.503,-67.821
0.190,33.564,7.191,8.707,8.940,-1.306,1.387,-67.841
0.191,33.680,7.232,8.805,8.982,-1.276,1.281,-67.878
0.191,33.792,7.266,8.899,9.016,-1.249,1.187,-67.934
0.192,33.904,7.292,8.988,9.042,-1.225,1.106,-68.007
0.193,34.021,7.311,9.073,9.061,-1.204,1.037,-68.099
0.193,34.146,7.324,9.152,9.072,-1.188,0.983,-68.211
0.194,34.281,7.329,9.225,9.077,-1.175,0.941,-68.339
0.195,34.423,7.329,9.293,9.076,-1.165,0.912,-68.478
0.196,34.568,7.323,9.354,9.069,-1.157,0.893,-68.621
0.196,34.709,7.313,9.408,9.057,-1.152,0.883,-68.761
0.197,34.841,7.298,9.454,9.042,-1.148,0.881,-68.893
0.198,34.957,7.279,9.493,9.022,-1.146,0.885,-69.009
0.198,35.052,7.256,9.524,8.999,-1.145,0.893,-69.104
0.199,35.119,7.230,9.547,8.974,-1.143,0.904,-69.169
0.200,35.152,7.202,9.560,8.947,-1.142,0.917,-69.201
0.201,35.169,7.172,9.564,8.918,-1.140,0.930,-69.190
0.201,35.228,7.141,9.559,8.888,-1.138,0.941,-69.132
0.202,35.341,7.108,9.543,8.858,-1.134,0.950,-69.019
0.203,35.515,7.075,9.517,8.829,-1.127,0.953,-68.845
0.203,35.757,7.043,9.482,8.800,-1.119,0.951,-68.604
0.204,36.072,7.014,9.441,8.775,-1.108,0.942,-68.289
0.205,36.469,6.987,9.396,8.754,-1.093,0.923,-67.893
0.206,36.944,6.966,9.350,8.739,-1.075,0.896,-67.419
0.206,37.490,6.951,9.303,8.730,-1.054,0.859,-66.875
0.207,38.094,6.944,9.259,8.729,-1.031,0.816,-66.273
0.208,38.746,6.946,9.220,8.737,-1.006,0.766,-65.623
0.208,39.436,6.959,9.188,8.757,-0.979,0.711,-64.936
0.209,40.153,6.983,9.165,8.788,-0.950,0.652,-64.222
0.210,40.886,7.021,9.153,8.832,-0.921,0.589,-63.492
0.211,41.625,7.073,9.155,8.891,-0.891,0.524,-62.757
0.211,42.358,7.142,9.172,8.966,-0.862,0.458,-62.027
0.212,43.076,7.227,9.208,9.057,-0.832,0.392,-61.312
0.213,43.768,7.331,9.263,9.167,-0.804,0.326,-60.624
0.213,44.423,7.452,9.336,9.293,-0.777,0.262,-59.973
0.214,45.031,7.586,9.424,9.433,-0.751,0.202,-59.369
0.215,45.580,7.731,9.525,9.582,-0.727,0.145,-58.823
0.216,46.060,7.883,9.636,9.738,-0.706,0.093,-58.346
0.216,46.462,8.040,9.753,9.898,-0.688,0.046,-57.948
0.217,46.782,8.198,9.874,10.060,-0.673,0.006,-57.631
0.218,47.028,8.354,9.995,10.219,-0.660,-0.028,-57.387
0.218,47.206,8.506,10.115,10.373,-0.651,-0.057,-57.212
0.219,47.323,8.650,10.230,10.518,-0.643,-0.081,-57.098
0.220,47.386,8.784,10.338,10.653,-0.637,-0.100,-57.038
0.221,47.406,8.904,10.434,10.773,-0.634,-0.116,-57.026
0.221,47.437,9.007,10.518,10.876,-0.632,-0.127,-57.055
0.222,47.501,9.090,10.585,10.958,-0.631,-0.136,-57.118
0.223,47.592,9.151,10.633,11.018,-0.631,-0.142,-57.209
0.223,47.704,9.190,10.662,11.054,-0.633,-0.145,-57.321
0.224,47.831,9.209,10.674,11.071,-0.635,-0.147,-57.448
0.225,47.965,9.211,10.672,11.070,-0.638,-0.147,-57.582
0.226,48.101,9.199,10.657,11.054,-0.640,-0.146,-57.717
0.226,48.231,9.174,10.632,11.025,-0.643,-0.144,-57.847
0.227,48.348,9.139,10.598,10.987,-0.646,-0.142,-57.965
0.228,48.447,9.097,10.558,10.941,-0.648,-0.141,-58.064
0.228,48.526,9.049,10.513,10.891,-0.650,-0.139,-58.142
0.229,48.585,9.000,10.466,10.838,-0.652,-0.138,-58.201
0.230,48.628,8.951,10.419,10.786,-0.653,-0.138,-58.244
0.231,48.654,8.904,10.374,10.737,-0.653,-0.137,-58.270
0.231,48.667,8.862,10.332,10.694,-0.654,-0.137,-58.283
0.232,48.668,8.827,10.297,10.659,-0.654,-0.137,-58.284
0.233,48.678,8.803,10.269,10.634,-0.653,-0.137,-58.274
0.233,48.696,8.789,10.250,10.621,-0.653,-0.137,-58.255
0.234,48.722,8.784,10.239,10.618,-0.652,-0.138,-58.229
0.235,48.754,8.787,10.234,10.623,-0.652,-0.138,-58.198
0.236,48.789,8.797,10.236,10.636,-0.651,-0.139,-58.163
0.236,48.826,8.813,10.242,10.655,-0.650,-0.140,-58.125
0.237,48.864,8.833,10.253,10.679,-0.649,-0.140,-58.088
0.238,48.900,8.857,10.267,10.706,-0.648,-0.141,-58.051
0.238,48.934,8.883,10.283,10.736,-0.647,-0.141,-58.018
0.239,48.963,8.910,10.301,10.766,-0.647,-0.142,-57.989
0.240,48.987,8.937,10.319,10.796,-0.646,-0.142,-57.965
0.241,49.006,8.963,10.337,10.824,-0.646,-0.143,-57.946
0.241,49.021,8.986,10.354,10.849,-0.645,-0.143,-57.931
0.242,49.031,9.005,10.369,10.869,-0.645,-0.143,-57.920
0.243,49.038,9.020,10.381,10.884,-0.645,-0.143,-57.913
0.243,49.041,9.029,10.390,10.892,-0.645,-0.143,-57.910
0.244,49.041,9.033,10.395,10.895,-0.645,-0.143,-57.911
0.245,49.045,9.033,10.398,10.892,-0.645,-0.143,-57.914
0.246,49.051,9.029,10.399,10.886,-0.645,-0.143,-57.920
0.246,49.060,9.022,10.397,10.877,-0.645,-0.143,-57.929
0.247,49.071,9.013,10.394,10.864,-0.646,-0.142,-57.940
0.248,49.084,9.002,10.389,10.850,-0.646,-0.142,-57.953
0.248,49.099,8.990,10.383,10.835,-0.646,-0.142,-57.968
0.249,49.115,8.978,10.376,10.819,-0.647,-0.142,-57.985
0.250,49.133,8.966,10.368,10.804,-0.647,-0.142,-58.002
0.251,49.151,8.954,10.360,10.789,-0.647,-0.142,-58.021
0.251,49.170,8.943,10.352,10.777,-0.648,-0.142,-58.039
0.252,49.189,8.935,10.344,10.767,-0.648,-0.142,-58.058
0.253,49.206,8.929,10.337,10.760,-0.648,-0.142,-58.076
0.253,49.223,8.926,10.330,10.757,-0.649,-0.142,-58.092
0.254,49.237,8.925,10.325,10.757,-0.649,-0.142,-58.107
0.255,49.249,8.927,10.321,10.760,-0.649,-0.142,-58.119
0.256,49.258,8.931,10.318,10.766,-0.649,-0.142,-58.127
0.256,49.263,8.936,10.316,10.774,-0.649,-0.142,-58.132
0.257,49.264,8.943,10.316,10.784,-0.649,-0.142,-58.133
0.258,49.268,8.951,10.317,10.795,-0.649,-0.142,-58.129
0.258,49.278,8.960,10.320,10.807,-0.649,-0.142,-58.119
0.259,49.294,8.970,10.325,10.820,-0.649,-0.142,-58.103
0.260,49.316,8.980,10.331,10.833,-0.648,-0.142,-58.081
0.261,49.346,8.990,10.340,10.846,-0.648,-0.142,-58.051
0.261,49.384,8.999,10.350,10.858,-0.647,-0.142,-58.013
0.262,49.430,9.008,10.363,10.869,-0.646,-0.142,-57.967
0.263,49.484,9.015,10.379,10.880,-0.645,-0.142,-57.913
0.263,49.544,9.022,10.396,10.888,-0.644,-0.141,-57.853
0.264,49.610,9.027,10.416,10.895,-0.642,-0.141,-57.787
0.265,49.680,9.032,10.437,10.900,-0.641,-0.141,-57.717
0.266,49.753,9.036,10.460,10.905,-0.639,-0.141,-57.644
0.266,49.827,9.038,10.483,10.908,-0.638,-0.140,-57.570
0.267,49.903,9.041,10.506,10.911,-0.636,-0.140,-57.494
0.268,49.978,9.043,10.529,10.912,-0.635,-0.140,-57.419
0.268,50.051,9.044,10.552,10.914,-0.633,-0.139,-57.346
0.269,50.122,9.045,10.573,10.915,-0.632,-0.139,-57.275
0.270,50.189,9.046,10.593,10.915,-0.631,-0.139,-57.208
0.271,50.251,9.048,10.612,10.916,-0.629,-0.138,-57.147
0.271,50.306,9.049,10.627,10.917,-0.628,-0.138,-57.091
0.272,50.354,9.050,10.641,10.918,-0.627,-0.138,-57.043
0.273,50.394,9.052,10.650,10.920,-0.626,-0.138,-57.003
0.273,50.424,9.055,10.657,10.922,-0.626,-0.137,-56.973
0.274,50.446,9.058,10.660,10.925,-0.625,-0.137,-56.951
0.275,50.459,9.061,10.660,10.928,-0.625,-0.137,-56.938
0.276,50.466,9.064,10.659,10.932,-0.625,-0.137,-56.931
0.276,50.467,9.067,10.656,10.935,-0.625,-0.137,-56.930
0.277,50.471,9.069,10.651,10.938,-0.625,-0.137,-56.933
0.278,50.478,9.071,10.647,10.940,-0.625,-0.137,-56.940
0.278,50.488,9.073,10.642,10.942,-0.625,-0.137,-56.950
0.279,50.499,9.073,10.638,10.942,-0.626,-0.137,-56.962
0.280,50.511,9.073,10.635,10.942,-0.626,-0.138,-56.974
0.281,50.523,9.071,10.634,10.940,-0.626,-0.138,-56.985
0.281,50.533,9.068,10.635,10.937,-0.626,-0.138,-56.995
0.282,50.541,9.064,10.639,10.932,-0.626,-0.138,-57.003
0.283,50.544,9.057,10.646,10.925,-0.626,-0.138,-57.007
0.283,50.545,9.049,10.657,10.916,-0.626,-0.138,-57.006
0.284,50.551,9.039,10.671,10.906,-0.626,-0.138,-57.000
0.285,50.564,9.029,10.688,10.894,-0.626,-0.138,-56.987
0.286,50.582,9.017,10.705,10.881,-0.626,-0.138,-56.970
0.286,50.603,9.006,10.723,10.868,-0.625,-0.138,-56.948
0.287,50.627,8.995,10.740,10.856,-0.625,-0.137,-56.925
0.288,50.651,8.985,10.755,10.844,-0.624,-0.137,-56.900
0.288,50.675,8.976,10.767,10.834,-0.624,-0.137,-56.876
0.289,50.696,8.969,10.775,10.826,-0.623,-0.137,-56.855
0.290,50.714,8.965,10.777,10.821,-0.623,-0.137,-56.837
0.291,50.727,8.963,10.774,10.818,-0.623,-0.137,-56.824
0.291,50.733,8.965,10.764,10.820,-0.622,-0.137,-56.818
0.292,50.735,8.971,10.746,10.825,-0.622,-0.137,-56.820
0.293,50.747,8.982,10.719,10.835,-0.623,-0.137,-56.832
0.293,50.769,8.997,10.681,10.851,-0.623,-0.137,-56.855
